STOCK,CODE
ABBOTINDIA,ABBOTINDIA.NS
ADANIPOWER,ADANIPOWER.NS
ALKEM,ALKEM.NS
ASTERDM,ASTERDM.NS
ASTRAL,ASTRAL.NS
AUROPHARMA,AUROPHARMA.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJFINANCE,BAJFINANCE.NS
BALKRISIND,BALKRISIND.NS
BAYERCROP,BAYERCROP.NS
BHARATFORG,BHARATFORG.NS
BHARTIARTL,BHARTIARTL.NS
CIPLA,CIPLA.NS
CREDITACC,CREDITACC.NS
GNFC,GNFC.NS
ICICIGI,ICICIGI.NS
INFY,INFY.NS
IPCALAB,IPCALAB.NS
MANYAVAR,MANYAVAR.NS
MAXHEALTH,MAXHEALTH.NS
MINDACORP,MINDACORP.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PRESTIGE,PRESTIGE.NS
SANOFI,SANOFI.NS
SUNDRMFAST,SUNDRMFAST.NS
TCI,TCI.NS
TEAMLEASE,TEAMLEASE.NS
TITAN,TITAN.NS
ZYDUSLIFE,ZYDUSLIFE.NS
